id,text,isAd,isMuted,webVideoUrl,diggCount,shareCount,playCount,collectCount,commentCount,isSlideshow,isPinned,isSponsored,input,year,month,day,hour,minute,second
7350470621979069739,"Lemon Cupcakes are a lemon lovers dream! Perfectly sweet, light, and fluffy, they’re a dessert that everyone goes ga-ga over! #numstheword #lemonlovers #lemoncupcake #perfectlysweet #lemondessert #fluffycupcakes",False,False,https://www.tiktok.com/@numstheword/video/7350470621979069739,55,13,1043,20,3,False,False,False,cupcakeslovers,2024,03,25,20,01,41
7395631510507752747,"Whipped up a batch of delicious organic cupcakes today! 🧁 Topped with rich chocolate drizzle and colorful sprinkles, these little treats are a hit in our home. Perfect for any occasion or just because! #BakingJoy #CupcakeLove #OrganicTreats #HomeMadeGoodness #MomLife  #OrganicCupcakes #BakingFromScratch #HealthyBaking #DessertGoals #FoodieFun #CupcakeArt #BakeAndShare #SweetTooth #KitchenAdventures #DessertLover #FoodPorn #YummyInMyTummy #CupcakeDecorating #SprinkleLove #bakinginspiration ",False,False,https://www.tiktok.com/@inthekitchenwithmomma/video/7395631510507752747,15,0,1191,4,2,False,False,False,cupcakeslovers,2024,07,25,12,47,30
7425730296965844229,"Mini cupcakes gâteau aux carottes, délicieux 🤤🧡 #Foodie #Foodlover #Recipe #Homebaking #cupcakes ",False,False,https://www.tiktok.com/@elizabethbernier_/video/7425730296965844229,72,9,1218,1,5,False,False,False,cupcakeslovers,2024,10,14,15,26,17
7425547736746953989,How do I make this go viral?🙈 #cake #birthdaycake #cakedecorating #cakes #cakedesign #cakesofinstagram #chocolate #food #dessert #birthday #cakeart #baking #bakery #homemade #instafood #cakestagram #cupcakes #foodporn #yummy #love #instacake #foodie #chocolatecake #sweet #delicious #pastry #cakelover #foodphotography #instagood #buttercream ,False,False,https://www.tiktok.com/@onthe.dot/video/7425547736746953989,60,0,2137,3,3,False,False,False,cupcakeslovers,2024,10,14,03,37,58
7425629942844607787,Cute bear cupcake #delicious #yummy #sweet #dessert #cooking #cookingathometiktoktv #homemade #yum #yummy #yummyfood #easyrecipe #ethiogoodies #creative #recipe #creativecooking #god #godisgood #bless #cookinghacks #bakinghack #viral #viralvideo #viraltiktok #fypシ #fypage #fyp #fypage #fypシ゚viral #fypp #fyppppppppppppppppppppppp #fyptiktok #tiktok #tiktokviral #viral_video #hello #hellotiktok #2024 #2024tiktok #beauty #beautifull #cheese #chicken #chickenwings #stuffbread #love #gottaloveit #gottoloveit #live #laugh #love #livelaughlove #joy #joyful #enjoy #hobby #notahobby #nothobbybutlifestyle #thisislife #howwedo #peaceandlove #everythingcrochet #crochetlover1992 #appitzers #homemadebread #cheesy #cheesyfood #kitchen #cookingkitchen #satisying #food #foodies #foodtiktok #foodietiktok #delicious #deliciousfood #delicioustiktok #video #foodart #texasholdem #beyonce #beyoncetexasholdem #lovecooking #learncooking #learningcooking #cookingideas #menbekitchen #ethio #ethiopian_tik_tok #ethiopian_tik_tok🇪🇹🇪🇹🇪🇹🇪🇹 #ethiopia #world ,False,False,https://www.tiktok.com/@ethio.goodies/video/7425629942844607787,28,0,552,0,2,False,False,False,cupcakeslovers,2024,10,14,08,56,49
7065101713606315269,cakepops para boda🌻🤍 #girasol #boda #cakepops,False,False,https://www.tiktok.com/@cupcakesloversv/video/7065101713606315269,16,0,1059,2,0,False,False,False,cupcakeslovers,2022,02,15,19,43,01
7415921956131753249,Taylor Swift ‘Lover’ inspired cupcakes   #taylorswift #taylorswiftcupcakes #cupcakes #cupcakesoftiktok #bexleyheath ,False,False,https://www.tiktok.com/@connolly.cake.hous/video/7415921956131753249,36,2,319,4,2,False,False,False,cupcakeslovers,2024,09,18,05,04,50
7425694880841649441,#wedding #fyp #walsall #birmingham #birminghambaker #walsallbaker #halalfoodbirmingham #birminghamdesserts #birminghamfood #foodbloggers #cupcakesoftiktok #welcomebaby ##desserttable #dessertshotslover ,False,False,https://www.tiktok.com/@guiltydesserts/video/7425694880841649441,25,3,267,0,1,False,False,False,cupcakeslovers,2024,10,14,13,08,45
7425956426490613025,Bien plus que des gateaux .. 🫶❤️‍🩹 #CakeDesign #GâteauSurMesure #ArtCulinaire #CréationGourmande #CakeLover #CakeArt #PâtisserieCréative #InspirationCake #PâtisseriePersonnalisée #FaitMaison #WeddingCake #CupcakeArt #GâteauDécoré #CakeDecor #CakeDesigner #CakeGoals #GâteauxDeFête #GâteauxTendance #SweetTable #layercake #SweetCake ,False,False,https://www.tiktok.com/@juliecakes_tiktok/video/7425956426490613025,39,0,393,7,4,False,False,False,cupcakeslovers,2024,10,15,06,03,42
7348073054221831456,🥑Avo-cupcake 🥑 Cupcake-ado🥑 Tag your fave #avocadolover 🥑💚 How to 💁🏼‍♀️🥑🧁 Use lime green buttercream to pipe an avocado shape onto your cupcake. Smooth out any lines in the buttercream. Pipe a thin dark green line around the edge.  Flatten onto parchment paper. Freeze for 15 minutes.  Use a large piping tip to make a hole while the buttercream is still really cold.  Add a @lindtaunz ball  I added a cute face using sprinkles and black buttercream 😊  #cupcake #avocado #cakedecorating #cutefood #cakedbyrach #cakeartist #cupcakedesign #caketok ,False,False,https://www.tiktok.com/@cakedbyrach/video/7348073054221831456,20000,1668,578200,3094,73,False,False,False,cupcakeslovers,2024,03,19,08,57,43
